,Entity,Code,Date,Daily confirmed cases (7-day average),Days since confirmed cases first reached 30 per day
0,Afghanistan,AFG,"Jan 2, 2020",0.0,-98.0
1,Afghanistan,AFG,"Jan 3, 2020",0.0,-97.0
2,Afghanistan,AFG,"Jan 4, 2020",0.0,-96.0
3,Afghanistan,AFG,"Jan 5, 2020",0.0,-95.0
4,Afghanistan,AFG,"Jan 6, 2020",0.0,-94.0
5,Afghanistan,AFG,"Jan 7, 2020",0.0,-93.0
6,Afghanistan,AFG,"Jan 8, 2020",0.0,-92.0
7,Afghanistan,AFG,"Jan 9, 2020",0.0,-91.0
8,Afghanistan,AFG,"Jan 10, 2020",0.0,-90.0
9,Afghanistan,AFG,"Jan 11, 2020",0.0,-89.0
10,Afghanistan,AFG,"Jan 12, 2020",0.0,-88.0
11,Afghanistan,AFG,"Jan 13, 2020",0.0,-87.0
12,Afghanistan,AFG,"Jan 14, 2020",0.0,-86.0
13,Afghanistan,AFG,"Jan 15, 2020",0.0,-85.0
14,Afghanistan,AFG,"Jan 16, 2020",0.0,-84.0
15,Afghanistan,AFG,"Jan 17, 2020",0.0,-83.0
16,Afghanistan,AFG,"Jan 18, 2020",0.0,-82.0
17,Afghanistan,AFG,"Jan 19, 2020",0.0,-81.0
18,Afghanistan,AFG,"Jan 20, 2020",0.0,-80.0
19,Afghanistan,AFG,"Jan 21, 2020",0.0,-79.0
20,Afghanistan,AFG,"Jan 22, 2020",0.0,-78.0
21,Afghanistan,AFG,"Jan 23, 2020",0.0,-77.0
22,Afghanistan,AFG,"Jan 24, 2020",0.0,-76.0
23,Afghanistan,AFG,"Jan 25, 2020",0.0,-75.0
24,Afghanistan,AFG,"Jan 26, 2020",0.0,-74.0
25,Afghanistan,AFG,"Jan 27, 2020",0.0,-73.0
26,Afghanistan,AFG,"Jan 28, 2020",0.0,-72.0
27,Afghanistan,AFG,"Jan 29, 2020",0.0,-71.0
28,Afghanistan,AFG,"Jan 30, 2020",0.0,-70.0
